"","text","word_scores","compound","pos","neu","neg","but_count"
"2538","  Question is how many high school and college athletes have lost their life to China Virus and how many have lost their life to the experimental vaccine.  If the vaccine works why test?  20000 fans every game side by side and 50% or more not vaccinated.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.557,0,0.907,0.093,0
"2539","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 625,431,475,1250,Dose2 Capacity: 70,251,375,97,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2540","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 632,431,475,1254,Dose2 Capacity: 71,253,376,97,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2541","  With reference to ICMRs report, the third wave of COVID-19 will come in Dec or in next year. Then keeping in mind the schedule of 6 month semester. Please open the universities and college, atleast now, semester should be offline with condition of vaccine.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.5, 0, 0, 0, 0}",0.202,0.049,0.919,0.032,0
"2542","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 636,431,475,1261,Dose2 Capacity: 71,253,377,97,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2543","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 640,431,475,1265,Dose2 Capacity: 71,258,381,97,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2544","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 644,431,476,1265,Dose2 Capacity: 72,258,381,97,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2545","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 648,431,476,1265,Dose2 Capacity: 72,259,384,98,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2546"," ",NA,NA,NA,NA,NA,NA
"2547","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 650,431,476,1264,Dose2 Capacity: 72,261,383,98,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2548","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 653,431,476,1267,Dose2 Capacity: 72,266,382,98,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
